id,method,nsnp,b,se,CIlower,CIupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,gene,cell
"AP003068.23_B cell, naive",Wald_ratio,1,0.033081773,0.016412663,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.000912954,0.065250592,1.033635059,1.000913371,1.06742648,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"B cell, naive"
"AP003068.18_NK cell, CD56dim CD16+",Wald_ratio,1,0.042107842,0.020890712,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001162046,0.083053639,1.043006953,1.001162721,1.086600091,0.697001107,Breast cancer,ieu-a-1131,AP003068.18,"NK cell, CD56dim CD16+"
"AP003068.18_T cell, CD4, TH2",Wald_ratio,1,0.044678828,0.02216624,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001232997,0.08812466,1.045691959,1.001233758,1.092124257,0.697001107,Breast cancer,ieu-a-1131,AP003068.18,"T cell, CD4, TH2"
"AP003068.18_T cell, CD4, TH1",Wald_ratio,1,0.044472287,0.02206377,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001227297,0.087717276,1.045476003,1.001228051,1.091679435,0.697001107,Breast cancer,ieu-a-1131,AP003068.18,"T cell, CD4, TH1"
"AP003068.23_NK cell, CD56dim CD16+",Wald_ratio,1,0.036280272,0.017999515,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001001223,0.071559321,1.036946433,1.001001724,1.07418187,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"NK cell, CD56dim CD16+"
"AP003068.23_T cell, CD4, naive",Wald_ratio,1,0.040133998,0.019911441,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001107574,0.079160421,1.04095025,1.001108187,1.082377945,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"T cell, CD4, naive"
"AP003068.23_T cell, CD4, TH1",Wald_ratio,1,0.038174951,0.018939511,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.00105351,0.075296392,1.038912976,1.001054065,1.078203675,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"T cell, CD4, TH1"
"AP003068.23_T cell, CD4, TH2",Wald_ratio,1,0.037693713,0.018700757,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.00104023,0.074347197,1.038413132,1.001040771,1.077180734,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"T cell, CD4, TH2"
"AP003068.18_T cell, CD4, memory TREG",Wald_ratio,1,0.050215605,0.024913168,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001385795,0.099045415,1.05149778,1.001386756,1.104116442,0.697001107,Breast cancer,ieu-a-1131,AP003068.18,"T cell, CD4, memory TREG"
"AP003068.23_T cell, CD4, naive TREG",Wald_ratio,1,0.043485433,0.021574168,NA,NA,0.043839204,NA,NA,NA,NA,NA,NA,NA,0.001200063,0.085770803,1.04444478,1.001200783,1.089556576,0.697001107,Breast cancer,ieu-a-1131,AP003068.23,"T cell, CD4, naive TREG"
"TMTC4_Monocyte, classical",Wald_ratio,1,0.044938928,0.017748988,NA,NA,0.011344152,NA,NA,NA,NA,NA,NA,NA,0.010150911,0.079726944,1.045963978,1.010202606,1.08299131,0.433470689,Breast cancer,ieu-a-1131,TMTC4,"Monocyte, classical"
"TMTC4_T cell, CD4, TH2",Wald_ratio,1,0.038609046,0.015248951,NA,NA,0.011344152,NA,NA,NA,NA,NA,NA,NA,0.008721102,0.068496989,1.03936406,1.008759242,1.070897401,0.433470689,Breast cancer,ieu-a-1131,TMTC4,"T cell, CD4, TH2"
"TMTC4_T cell, CD8, naive",Wald_ratio,1,0.038257032,0.01510992,NA,NA,0.011344152,NA,NA,NA,NA,NA,NA,NA,0.008641589,0.067872476,1.038998255,1.008679035,1.07022882,0.433470689,Breast cancer,ieu-a-1131,TMTC4,"T cell, CD8, naive"
"TMED6_T cell, CD4, TH1",Wald_ratio,1,0.06277837,0.022653036,NA,NA,0.005583288,NA,NA,NA,NA,NA,NA,NA,0.018378419,0.107178322,1.064790824,1.018548341,1.113132732,0.314118288,Breast cancer,ieu-a-1131,TMED6,"T cell, CD4, TH1"
"TMED6_T cell, CD4, TH2",Wald_ratio,1,0.066864488,0.024127477,NA,NA,0.005583288,NA,NA,NA,NA,NA,NA,NA,0.019574633,0.114154343,1.069150586,1.019767472,1.120925119,0.314118288,Breast cancer,ieu-a-1131,TMED6,"T cell, CD4, TH2"
"SLC14A1_NK cell, CD56dim CD16+",Wald_ratio,1,0.06135996,0.023663023,NA,NA,0.009512241,NA,NA,NA,NA,NA,NA,NA,0.014980435,0.107739484,1.063281584,1.015093204,1.113757556,0.421368655,Breast cancer,ieu-a-1131,SLC14A1,"NK cell, CD56dim CD16+"
"FKRP_T cell, CD4, naive TREG",Wald_ratio,1,0.053038455,0.024012435,NA,NA,0.027189167,NA,NA,NA,NA,NA,NA,NA,0.005974083,0.100102828,1.054470195,1.005991963,1.105284567,0.598480833,Breast cancer,ieu-a-1131,FKRP,"T cell, CD4, naive TREG"
"FKRP_T cell, CD8, naive",Wald_ratio,1,0.049897352,0.022590343,NA,NA,0.027189167,NA,NA,NA,NA,NA,NA,NA,0.005620279,0.094174424,1.051163191,1.005636102,1.098751378,0.598480833,Breast cancer,ieu-a-1131,FKRP,"T cell, CD8, naive"
"CASP8_T cell, CD4, TH1",Wald_ratio,1,-0.071195882,0.016643193,NA,NA,1.89E-05,NA,NA,NA,NA,NA,NA,NA,-0.10381654,-0.038575223,0.931279454,0.901390651,0.962159325,0.009465775,Breast cancer,ieu-a-1131,CASP8,"T cell, CD4, TH1"
"CASP8_T cell, CD8, naive",Wald_ratio,1,-0.069433356,0.016231174,NA,NA,1.89E-05,NA,NA,NA,NA,NA,NA,NA,-0.101246458,-0.037620255,0.932922305,0.903710279,0.963078596,0.009465775,Breast cancer,ieu-a-1131,CASP8,"T cell, CD8, naive"
"SLC36A1_T cell, CD8, naive activated",Wald_ratio,1,0.060286918,0.023392085,NA,NA,0.009959399,NA,NA,NA,NA,NA,NA,NA,0.014438432,0.106135404,1.06214125,1.014543169,1.111972432,0.421368655,Breast cancer,ieu-a-1131,SLC36A1,"T cell, CD8, naive activated"
"CCDC126_B cell, naive",Wald_ratio,1,0.036107441,0.018053721,NA,NA,0.045500264,NA,NA,NA,NA,NA,NA,NA,0.000722149,0.071492734,1.036767232,1.00072241,1.074110346,0.702024576,Breast cancer,ieu-a-1131,CCDC126,"B cell, naive"
"TRIM50_T cell, CD4, memory TREG",Wald_ratio,1,0.05346947,0.023507442,NA,NA,0.022931361,NA,NA,NA,NA,NA,NA,NA,0.007394884,0.099544057,1.054924785,1.007422293,1.104667138,0.570291286,Breast cancer,ieu-a-1131,TRIM50,"T cell, CD4, memory TREG"
"TRIM50_T cell, CD8, naive",Wald_ratio,1,0.05775025,0.025389454,NA,NA,0.022931361,NA,NA,NA,NA,NA,NA,NA,0.00798692,0.107513579,1.059450364,1.0080189,1.113505981,0.570291286,Breast cancer,ieu-a-1131,TRIM50,"T cell, CD8, naive"
"TRIM50_T cell, CD4, TFH",Wald_ratio,1,0.055906432,0.024578834,NA,NA,0.022931361,NA,NA,NA,NA,NA,NA,NA,0.007731918,0.104080945,1.057498731,1.007761886,1.109690276,0.570291286,Breast cancer,ieu-a-1131,TRIM50,"T cell, CD4, TFH"
"MYLK4_T cell, CD4, TH1",Wald_ratio,1,0.05282073,0.017737574,NA,NA,0.002902301,NA,NA,NA,NA,NA,NA,NA,0.018055086,0.087586375,1.054240635,1.018219064,1.091536542,0.204757193,Breast cancer,ieu-a-1131,MYLK4,"T cell, CD4, TH1"
"XKR9_T cell, CD4, naive activated",Wald_ratio,1,-0.040923284,0.017241287,NA,NA,0.017617377,NA,NA,NA,NA,NA,NA,NA,-0.074716206,-0.007130362,0.959902767,0.928006811,0.992894999,0.53854119,Breast cancer,ieu-a-1131,XKR9,"T cell, CD4, naive activated"
"XKR9_T cell, CD4, TH17",Wald_ratio,1,-0.040808017,0.017192724,NA,NA,0.017617377,NA,NA,NA,NA,NA,NA,NA,-0.074505756,-0.007110278,0.960013418,0.928202131,0.99291494,0.53854119,Breast cancer,ieu-a-1131,XKR9,"T cell, CD4, TH17"
"OR2AE1_T cell, CD4, naive TREG",Wald_ratio,1,0.044613852,0.017317219,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.010672103,0.078555601,1.045624016,1.010729253,1.081723498,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"T cell, CD4, naive TREG"
"OR2AE1_T cell, CD8, naive",Wald_ratio,1,0.049612884,0.019257633,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.011867924,0.087357844,1.050864211,1.011938627,1.091287121,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"T cell, CD8, naive"
"OR2AE1_NK cell, CD56dim CD16+",Wald_ratio,1,0.046750424,0.018146546,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.011183193,0.082317654,1.047860455,1.011245959,1.085800664,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"NK cell, CD56dim CD16+"
"OR2AE1_T cell, CD4, TH1 TH17",Wald_ratio,1,0.050950346,0.019776779,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.012187859,0.089712834,1.052270643,1.012262434,1.093860119,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"T cell, CD4, TH1 TH17"
"OR2AE1_T cell, CD4, memory TREG",Wald_ratio,1,0.047432882,0.018411448,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.011346445,0.083519319,1.04857582,1.01141106,1.087106217,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"T cell, CD4, memory TREG"
"OR2AE1_T cell, CD4, TFH",Wald_ratio,1,0.052915051,0.020539395,NA,NA,0.009987228,NA,NA,NA,NA,NA,NA,NA,0.012657837,0.093172265,1.054340076,1.012738287,1.097650806,0.421368655,Breast cancer,ieu-a-1131,OR2AE1,"T cell, CD4, TFH"
"LDOC1L_T cell, CD4, TFH",Wald_ratio,1,-0.03943887,0.015993643,NA,NA,0.013666602,NA,NA,NA,NA,NA,NA,NA,-0.07078641,-0.008091329,0.961328718,0.931660864,0.991941317,0.484372087,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD4, TFH"
"LDOC1L_T cell, CD4, memory TREG",Wald_ratio,1,-0.044656701,0.017137988,NA,NA,0.00916829,NA,NA,NA,NA,NA,NA,NA,-0.078247157,-0.011066244,0.956325732,0.924735843,0.988994762,0.421368655,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD4, memory TREG"
"LDOC1L_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.040993041,0.015731978,NA,NA,0.00916829,NA,NA,NA,NA,NA,NA,NA,-0.071827718,-0.010158363,0.95983581,0.930691223,0.989893059,0.421368655,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD4, TH1 TH17"
"LDOC1L_T cell, CD4, TH17",Wald_ratio,1,-0.034630698,0.015499673,NA,NA,0.02546428,NA,NA,NA,NA,NA,NA,NA,-0.065010058,-0.004251339,0.965962082,0.937058039,0.995757685,0.578558489,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD4, TH17"
"LDOC1L_T cell, CD8, naive",Wald_ratio,1,-0.04021817,0.01800046,NA,NA,0.02546428,NA,NA,NA,NA,NA,NA,NA,-0.075499072,-0.004937269,0.960579846,0.927280591,0.995074899,0.578558489,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD8, naive"
"LDOC1L_T cell, CD4, naive TREG",Wald_ratio,1,-0.054086861,0.020268096,NA,NA,0.007617458,NA,NA,NA,NA,NA,NA,NA,-0.093812329,-0.014361394,0.947349815,0.910453612,0.985741239,0.382777262,Breast cancer,ieu-a-1131,LDOC1L,"T cell, CD4, naive TREG"
"ARL17A_Monocyte, classical",Wald_ratio,1,-0.058832659,0.02097421,NA,NA,0.005031658,NA,NA,NA,NA,NA,NA,NA,-0.099942111,-0.017723207,0.942864536,0.9048898,0.982432925,0.294141504,Breast cancer,ieu-a-1131,ARL17A,"Monocyte, classical"
"FAM118A_B cell, naive",Wald_ratio,1,-0.042237973,0.021038071,NA,NA,0.044675999,NA,NA,NA,NA,NA,NA,NA,-0.083472593,-0.001003354,0.958641622,0.919916299,0.998997149,0.69727981,Breast cancer,ieu-a-1131,FAM118A,"B cell, naive"
"FAM118A_T cell, CD8, naive",Wald_ratio,1,-0.041232228,0.020537125,NA,NA,0.044675999,NA,NA,NA,NA,NA,NA,NA,-0.081484993,-0.000979463,0.959606257,0.921746542,0.999021017,0.69727981,Breast cancer,ieu-a-1131,FAM118A,"T cell, CD8, naive"
"FAM118A_T cell, CD4, TFH",Wald_ratio,1,-0.041766417,0.020803196,NA,NA,0.044675999,NA,NA,NA,NA,NA,NA,NA,-0.082540683,-0.000992152,0.959093782,0.920773978,0.99900834,0.69727981,Breast cancer,ieu-a-1131,FAM118A,"T cell, CD4, TFH"
"AC019117.2_T cell, CD4, TH17",Wald_ratio,1,-0.054788604,0.021494889,NA,NA,0.010805924,NA,NA,NA,NA,NA,NA,NA,-0.096918587,-0.012658621,0.946685253,0.907629896,0.987421163,0.424208048,Breast cancer,ieu-a-1131,AC019117.2,"T cell, CD4, TH17"
"POLI_T cell, CD4, naive",Wald_ratio,1,-0.047917152,0.017732335,NA,NA,0.006887254,NA,NA,NA,NA,NA,NA,NA,-0.082672529,-0.013161776,0.953212755,0.920652585,0.986924462,0.350471609,Breast cancer,ieu-a-1131,POLI,"T cell, CD4, naive"
"CYYR1_Monocyte, classical",Wald_ratio,1,-0.048460814,0.022441585,NA,NA,0.030817575,NA,NA,NA,NA,NA,NA,NA,-0.092446321,-0.004475307,0.952694671,0.911698149,0.995534692,0.63255504,Breast cancer,ieu-a-1131,CYYR1,"Monocyte, classical"
"L3MBTL3_T cell, CD4, naive activated",Wald_ratio,1,-0.07799815,0.018165236,NA,NA,1.76E-05,NA,NA,NA,NA,NA,NA,NA,-0.113602012,-0.042394289,0.924966137,0.892613135,0.958491783,0.009465775,Breast cancer,ieu-a-1131,L3MBTL3,"T cell, CD4, naive activated"
"RP11-259G18.3_Monocyte, classical",Wald_ratio,1,-0.066651849,0.022979811,NA,NA,0.003726243,NA,NA,NA,NA,NA,NA,NA,-0.111692278,-0.02161142,0.935520847,0.894319417,0.978620433,0.247380752,Breast cancer,ieu-a-1131,RP11-259G18.3,"Monocyte, classical"
"ACVR2A_B cell, naive",Wald_ratio,1,-0.042122684,0.021285399,NA,NA,0.047821932,NA,NA,NA,NA,NA,NA,NA,-0.083842065,-0.000403302,0.95875215,0.919576478,0.999596779,0.710213778,Breast cancer,ieu-a-1131,ACVR2A,"B cell, naive"
"CCT6P3_T cell, CD4, memory TREG",Wald_ratio,1,-0.050770059,0.022949092,NA,NA,0.026946599,NA,NA,NA,NA,NA,NA,NA,-0.095750281,-0.005789838,0.950497203,0.908690905,0.994226891,0.597262003,Breast cancer,ieu-a-1131,CCT6P3,"T cell, CD4, memory TREG"
"STXBP4_T cell, CD4, TFH",Wald_ratio,1,0.043954367,0.019523917,NA,NA,0.024365979,NA,NA,NA,NA,NA,NA,NA,0.005687491,0.082221244,1.044934671,1.005703695,1.085695987,0.571320379,Breast cancer,ieu-a-1131,STXBP4,"T cell, CD4, TFH"
"RP11-83C7.1_T cell, CD4, naive",Wald_ratio,1,-0.035688442,0.017945608,NA,NA,0.046734264,NA,NA,NA,NA,NA,NA,NA,-0.070861834,-0.000515049,0.964940882,0.931590597,0.999485084,0.706486417,Breast cancer,ieu-a-1131,RP11-83C7.1,"T cell, CD4, naive"
"RP11-460N20.5_Monocyte, non-classical",Wald_ratio,1,-0.055481805,0.020237216,NA,NA,0.006114577,NA,NA,NA,NA,NA,NA,NA,-0.095146748,-0.015816862,0.946029236,0.909239495,0.984307567,0.328641693,Breast cancer,ieu-a-1131,RP11-460N20.5,"Monocyte, non-classical"
"RCCD1_T cell, CD4, TH17",Wald_ratio,1,-0.076977498,0.02710185,NA,NA,0.004507053,NA,NA,NA,NA,NA,NA,NA,-0.130097125,-0.023857872,0.925910688,0.87801015,0.976424477,0.276702908,Breast cancer,ieu-a-1131,RCCD1,"T cell, CD4, TH17"
"JAZF1_T cell, CD4, naive activated",Wald_ratio,1,-0.063084195,0.025935872,NA,NA,0.015002678,NA,NA,NA,NA,NA,NA,NA,-0.113918504,-0.012249886,0.938864423,0.892330675,0.987824838,0.499644409,Breast cancer,ieu-a-1131,JAZF1,"T cell, CD4, naive activated"
"CTD-2260A17.3_NK cell, CD56dim CD16+",Wald_ratio,1,0.057857216,0.027286372,NA,NA,0.033974823,NA,NA,NA,NA,NA,NA,NA,0.004375926,0.111338506,1.059563696,1.004385514,1.117773215,0.644294622,Breast cancer,ieu-a-1131,CTD-2260A17.3,"NK cell, CD56dim CD16+"
"AC091729.9_T cell, CD4, naive activated",Wald_ratio,1,0.043834154,0.018172701,NA,NA,0.015861456,NA,NA,NA,NA,NA,NA,NA,0.008215659,0.079452648,1.044809063,1.0082495,1.082694291,0.511505827,Breast cancer,ieu-a-1131,AC091729.9,"T cell, CD4, naive activated"
"MT2A_T cell, CD4, memory TREG",Wald_ratio,1,-0.056008837,0.019717397,NA,NA,0.004503162,NA,NA,NA,NA,NA,NA,NA,-0.094654934,-0.017362739,0.94553078,0.909686782,0.982787124,0.276702908,Breast cancer,ieu-a-1131,MT2A,"T cell, CD4, memory TREG"
"MT2A_NK cell, CD56dim CD16+",Wald_ratio,1,-0.054743289,0.019271872,NA,NA,0.004503162,NA,NA,NA,NA,NA,NA,NA,-0.092516158,-0.01697042,0.946728152,0.911634481,0.983172767,0.276702908,Breast cancer,ieu-a-1131,MT2A,"NK cell, CD56dim CD16+"
"WDR41_T cell, CD4, TFH",Wald_ratio,1,-0.04623127,0.019862323,NA,NA,0.019934087,NA,NA,NA,NA,NA,NA,NA,-0.085161424,-0.007301116,0.954821115,0.918364027,0.992725472,0.562486254,Breast cancer,ieu-a-1131,WDR41,"T cell, CD4, TFH"
"RP1-167G20.1_T cell, CD4, naive TREG",Wald_ratio,1,0.05114082,0.022008627,NA,NA,0.020143107,NA,NA,NA,NA,NA,NA,NA,0.00800391,0.094277729,1.052471092,1.008036027,1.098864891,0.563356342,Breast cancer,ieu-a-1131,RP1-167G20.1,"T cell, CD4, naive TREG"
"JAZF1_T cell, CD4, naive",Wald_ratio,1,-0.062534441,0.026180687,NA,NA,0.01691402,NA,NA,NA,NA,NA,NA,NA,-0.113848588,-0.011220295,0.939380709,0.892393064,0.988842418,0.528091971,Breast cancer,ieu-a-1131,JAZF1,"T cell, CD4, naive"
"YPEL4_Monocyte, classical",Wald_ratio,1,0.038804526,0.01645974,NA,NA,0.018396379,NA,NA,NA,NA,NA,NA,NA,0.006543436,0.071065616,1.039567256,1.006564891,1.073651673,0.538728889,Breast cancer,ieu-a-1131,YPEL4,"Monocyte, classical"
"MACF1_T cell, CD4, naive",Wald_ratio,1,0.043680157,0.021887046,NA,NA,0.045965699,NA,NA,NA,NA,NA,NA,NA,0.000781546,0.086578768,1.044648178,1.000781852,1.090437256,0.706486417,Breast cancer,ieu-a-1131,MACF1,"T cell, CD4, naive"
"TTC28-AS1_Monocyte, classical",Wald_ratio,1,-0.061740073,0.028717954,NA,NA,0.031564934,NA,NA,NA,NA,NA,NA,NA,-0.118027264,-0.005452883,0.940127219,0.888671824,0.994561957,0.636831271,Breast cancer,ieu-a-1131,TTC28-AS1,"Monocyte, classical"
"TTC28-AS1_T cell, CD4, naive TREG",Wald_ratio,1,-0.071120961,0.033081407,NA,NA,0.031564934,NA,NA,NA,NA,NA,NA,NA,-0.135960519,-0.006281403,0.931349228,0.872877093,0.993738283,0.636831271,Breast cancer,ieu-a-1131,TTC28-AS1,"T cell, CD4, naive TREG"
"TTC28-AS1_NK cell, CD56dim CD16+",Wald_ratio,1,-0.060228136,0.028014687,NA,NA,0.031564934,NA,NA,NA,NA,NA,NA,NA,-0.115136923,-0.005319349,0.941549708,0.891244104,0.994694774,0.636831271,Breast cancer,ieu-a-1131,TTC28-AS1,"NK cell, CD56dim CD16+"
"KIF1B_T cell, CD8, naive activated",Wald_ratio,1,0.061288637,0.031215774,NA,NA,0.049601255,NA,NA,NA,NA,NA,NA,NA,0.000105719,0.122471554,1.06320575,1.000105725,1.130286968,0.716329435,Breast cancer,ieu-a-1131,KIF1B,"T cell, CD8, naive activated"
"CMSS1_Monocyte, classical",Wald_ratio,1,0.067183901,0.02277636,NA,NA,0.003180613,NA,NA,NA,NA,NA,NA,NA,0.022542235,0.111825567,1.069492141,1.022798231,1.118317772,0.2180801,Breast cancer,ieu-a-1131,CMSS1,"Monocyte, classical"
"C6orf3_T cell, CD4, naive",Wald_ratio,1,0.05745581,0.02244731,NA,NA,0.010479708,NA,NA,NA,NA,NA,NA,NA,0.013459082,0.101452538,1.059138466,1.013550063,1.106777388,0.421603686,Breast cancer,ieu-a-1131,C6orf3,"T cell, CD4, naive"
"CDC14A_NK cell, CD56dim CD16+",Wald_ratio,1,-0.051430341,0.018390243,NA,NA,0.00516418,NA,NA,NA,NA,NA,NA,NA,-0.087475217,-0.015385464,0.949869815,0.916241579,0.984732287,0.300690535,Breast cancer,ieu-a-1131,CDC14A,"NK cell, CD56dim CD16+"
"TMEM120A_T cell, CD8, naive activated",Wald_ratio,1,-0.050898393,0.021091089,NA,NA,0.015810306,NA,NA,NA,NA,NA,NA,NA,-0.092236927,-0.009559859,0.95037523,0.911889073,0.990485691,0.511505827,Breast cancer,ieu-a-1131,TMEM120A,"T cell, CD8, naive activated"
"XKR9_T cell, CD4, TH1 TH17",Wald_ratio,1,-0.04144635,0.016655115,NA,NA,0.012828116,NA,NA,NA,NA,NA,NA,NA,-0.074090375,-0.008802324,0.959400806,0.928587769,0.991236303,0.459090126,Breast cancer,ieu-a-1131,XKR9,"T cell, CD4, TH1 TH17"
"RP11-382J12.1_T cell, CD4, naive",Wald_ratio,1,0.048239529,0.019384938,NA,NA,0.012828116,NA,NA,NA,NA,NA,NA,NA,0.010245051,0.086234007,1.049421992,1.010297711,1.090061381,0.459090126,Breast cancer,ieu-a-1131,RP11-382J12.1,"T cell, CD4, naive"
"CRHR1-IT1_Monocyte, non-classical",Wald_ratio,1,-0.054364409,0.017942933,NA,NA,0.002446746,NA,NA,NA,NA,NA,NA,NA,-0.089532558,-0.01919626,0.947086916,0.914358495,0.980986815,0.197280929,Breast cancer,ieu-a-1131,CRHR1-IT1,"Monocyte, non-classical"
"TMTC4_T cell, CD8, naive activated",Wald_ratio,1,0.044211281,0.019182157,NA,NA,0.021177058,NA,NA,NA,NA,NA,NA,NA,0.006614254,0.081808307,1.045203163,1.006636176,1.085247756,0.565496653,Breast cancer,ieu-a-1131,TMTC4,"T cell, CD8, naive activated"
"TMTC4_T cell, CD4, naive activated",Wald_ratio,1,0.047547123,0.020629494,NA,NA,0.021177058,NA,NA,NA,NA,NA,NA,NA,0.007113314,0.087980932,1.048695618,1.007138674,1.0919673,0.565496653,Breast cancer,ieu-a-1131,TMTC4,"T cell, CD4, naive activated"
"NPC1_B cell, naive",Wald_ratio,1,0.039368568,0.018421121,NA,NA,0.032586374,NA,NA,NA,NA,NA,NA,NA,0.00326317,0.075473966,1.040153781,1.0032685,1.078395153,0.636831271,Breast cancer,ieu-a-1131,NPC1,"B cell, naive"
"NAPRT1_T cell, CD4, TH2",Wald_ratio,1,-0.070348583,0.029718213,NA,NA,0.01792385,NA,NA,NA,NA,NA,NA,NA,-0.128596281,-0.012100885,0.93206886,0.879328896,0.987972036,0.538728889,Breast cancer,ieu-a-1131,NAPRT1,"T cell, CD4, TH2"
"NAPRT1_T cell, CD4, TH1",Wald_ratio,1,-0.067223253,0.028397942,NA,NA,0.01792385,NA,NA,NA,NA,NA,NA,NA,-0.122883219,-0.011563287,0.93498644,0.884366934,0.988503311,0.538728889,Breast cancer,ieu-a-1131,NAPRT1,"T cell, CD4, TH1"
"NAPRT1_T cell, CD4, TFH",Wald_ratio,1,-0.054253374,0.022918917,NA,NA,0.01792385,NA,NA,NA,NA,NA,NA,NA,-0.099174451,-0.009332296,0.947192083,0.905584714,0.990711114,0.538728889,Breast cancer,ieu-a-1131,NAPRT1,"T cell, CD4, TFH"
"NAPRT1_T cell, CD4, TH17",Wald_ratio,1,-0.066582022,0.028127059,NA,NA,0.01792385,NA,NA,NA,NA,NA,NA,NA,-0.121711057,-0.011452987,0.935586174,0.885404163,0.988612349,0.538728889,Breast cancer,ieu-a-1131,NAPRT1,"T cell, CD4, TH17"
"FOXRED1_T cell, CD4, memory TREG",Wald_ratio,1,0.03796299,0.017795152,NA,NA,0.032897392,NA,NA,NA,NA,NA,NA,NA,0.003084493,0.072841487,1.03869279,1.003089255,1.075560033,0.636831271,Breast cancer,ieu-a-1131,FOXRED1,"T cell, CD4, memory TREG"
"RHOT1P1_T cell, CD8, naive",Wald_ratio,1,-0.086664923,0.040513557,NA,NA,0.032422828,NA,NA,NA,NA,NA,NA,NA,-0.166071495,-0.007258351,0.916984304,0.846985677,0.992767927,0.636831271,Breast cancer,ieu-a-1131,RHOT1P1,"T cell, CD8, naive"
"RPS23_T cell, CD4, naive activated",Wald_ratio,1,0.051470019,0.020068108,NA,NA,0.010324516,NA,NA,NA,NA,NA,NA,NA,0.012136527,0.090803512,1.052817621,1.012210473,1.095053819,0.421442334,Breast cancer,ieu-a-1131,RPS23,"T cell, CD4, naive activated"
"RP11-460N20.4_Monocyte, classical",Wald_ratio,1,-0.041345373,0.019180843,NA,NA,0.031118386,NA,NA,NA,NA,NA,NA,NA,-0.078939826,-0.00375092,0.959497688,0.924095529,0.996256105,0.635933259,Breast cancer,ieu-a-1131,RP11-460N20.4,"Monocyte, classical"
"CCT6P3_B cell, naive",Wald_ratio,1,-0.04585229,0.021271681,NA,NA,0.031118386,NA,NA,NA,NA,NA,NA,NA,-0.087544785,-0.004159795,0.955183041,0.916177839,0.995848845,0.635933259,Breast cancer,ieu-a-1131,CCT6P3,"B cell, naive"
"RP11-212I21.2_Monocyte, classical",Wald_ratio,1,-0.041982885,0.015540626,NA,NA,0.006902903,NA,NA,NA,NA,NA,NA,NA,-0.072442512,-0.011523258,0.958886191,0.930119215,0.98854288,0.350471609,Breast cancer,ieu-a-1131,RP11-212I21.2,"Monocyte, classical"
"RP11-212I21.2_Monocyte, non-classical",Wald_ratio,1,-0.040655423,0.015049245,NA,NA,0.006902903,NA,NA,NA,NA,NA,NA,NA,-0.070151943,-0.011158903,0.960159922,0.93225216,0.988903127,0.350471609,Breast cancer,ieu-a-1131,RP11-212I21.2,"Monocyte, non-classical"
"ABO_T cell, CD4, memory TREG",Wald_ratio,1,-0.072302574,0.02417367,NA,NA,0.002780984,NA,NA,NA,NA,NA,NA,NA,-0.119682968,-0.02492218,0.930249384,0.887201663,0.975385813,0.204757193,Breast cancer,ieu-a-1131,ABO,"T cell, CD4, memory TREG"
"ABO_T cell, CD4, TH1",Wald_ratio,1,-0.066561114,0.022254068,NA,NA,0.002780984,NA,NA,NA,NA,NA,NA,NA,-0.110179088,-0.02294314,0.935605735,0.895673717,0.977318052,0.204757193,Breast cancer,ieu-a-1131,ABO,"T cell, CD4, TH1"
"SACM1L_NK cell, CD56dim CD16+",Wald_ratio,1,0.040085913,0.017490316,NA,NA,0.021911882,NA,NA,NA,NA,NA,NA,NA,0.005804894,0.074366931,1.040900197,1.005821775,1.077201992,0.565496653,Breast cancer,ieu-a-1131,SACM1L,"NK cell, CD56dim CD16+"
