id,gene,cell,nsnp,b,se,CIlower,Ciupper,pval,intercept,intercept_se,inter_CIlower,inter_CIupper,intercept_pval,hetero_Q,hetero_pvale,lo_ci,up_ci,or,or_lci95,or_uci95,fdr,cancer,cancerid,match,PPH4(PWCOCO),ldcheck,H4 (conventional coloc)
"CASP8_T cell, CD4, TH17",CASP8,"T cell, CD4, TH17",1,-0.069000496,0.016150961,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.10065638,-0.037344612,0.933326217,0.904243696,0.963344099,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH17_Breast cancer_ieu-a-1131",0.33355513,0.991516071,1
"CASP8_T cell, CD4, TH1 TH17",CASP8,"T cell, CD4, TH1 TH17",1,-0.069893001,0.01635987,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.101958347,-0.037827656,0.93249359,0.903067166,0.962878873,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH1 TH17_Breast cancer_ieu-a-1131",0.275868146,0.991516071,1
"CASP8_T cell, CD4, memory TREG",CASP8,"T cell, CD4, memory TREG",1,-0.066698178,0.015612057,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.097297811,-0.036098546,0.935477506,0.907285766,0.964545237,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, memory TREG_Breast cancer_ieu-a-1131",0.220690722,0.991516071,1
"CASP8_Monocyte, classical",CASP8,"Monocyte, classical",1,-0.066247393,0.015506542,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.096640215,-0.035854571,0.935899301,0.90788259,0.964780591,0.009465775,Breast cancer,ieu-a-1131,"CASP8_Monocyte, classical_Breast cancer_ieu-a-1131",0.332798903,0.991516071,1
"CASP8_T cell, CD4, naive TREG",CASP8,"T cell, CD4, naive TREG",1,-0.071051411,0.016631019,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.103648209,-0.038454613,0.931414006,0.901542396,0.962275379,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, naive TREG_Breast cancer_ieu-a-1131",0.220696826,0.991516071,1
"CASP8_B cell, naive",CASP8,"B cell, naive",1,-0.0959634,0.022462174,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.139989262,-0.051937538,0.908497266,0.869367571,0.949388165,0.009465775,Breast cancer,ieu-a-1131,"CASP8_B cell, naive_Breast cancer_ieu-a-1131",0.328399472,0.991516071,0.328399
"CASP8_T cell, CD4, TFH",CASP8,"T cell, CD4, TFH",1,-0.067010621,0.015685191,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.097753595,-0.036267647,0.935185269,0.906872335,0.964382145,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TFH_Breast cancer_ieu-a-1131",0.221255496,0.991516071,1
"CASP8_T cell, CD4, TH2",CASP8,"T cell, CD4, TH2",1,-0.071783696,0.016802426,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.104716451,-0.038850942,0.930732195,0.900579845,0.961894076,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH2_Breast cancer_ieu-a-1131",0.333564991,0.991516071,1
"CASP8_T cell, CD4, naive",CASP8,"T cell, CD4, naive",1,-0.069238239,0.01620661,NA,NA,1.94E-05,NA,NA,NA,NA,NA,NA,NA,-0.101003194,-0.037473283,0.933104352,0.903930146,0.963220151,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.240297034,0.991516071,1
"CASP8_Monocyte, non-classical",CASP8,"Monocyte, non-classical",1,-0.066169844,0.015775592,NA,NA,2.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.097090004,-0.035249684,0.935971882,0.907474326,0.96536435,0.012542718,Breast cancer,ieu-a-1131,"CASP8_Monocyte, non-classical_Breast cancer_ieu-a-1131",0.281919344,1,1
"CASP8_NK cell, CD56dim CD16+",CASP8,"NK cell, CD56dim CD16+",1,-0.070266789,0.016752347,NA,NA,2.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.10310139,-0.037432189,0.9321451,0.902035512,0.963259735,0.012542718,Breast cancer,ieu-a-1131,"CASP8_NK cell, CD56dim CD16+_Breast cancer_ieu-a-1131",0.221271322,1,1
"CASP8_T cell, CD4, TH1",CASP8,"T cell, CD4, TH1",1,-0.071195882,0.016643193,NA,NA,1.89E-05,NA,NA,NA,NA,NA,NA,NA,-0.10381654,-0.038575223,0.931279454,0.901390651,0.962159325,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD4, TH1_Breast cancer_ieu-a-1131",0.220674307,1,1
"CASP8_T cell, CD8, naive",CASP8,"T cell, CD8, naive",1,-0.069433356,0.016231174,NA,NA,1.89E-05,NA,NA,NA,NA,NA,NA,NA,-0.101246458,-0.037620255,0.932922305,0.903710279,0.963078596,0.009465775,Breast cancer,ieu-a-1131,"CASP8_T cell, CD8, naive_Breast cancer_ieu-a-1131",0.333560538,1,1
"L3MBTL3_T cell, CD4, naive activated",L3MBTL3,"T cell, CD4, naive activated",1,-0.07799815,0.018165236,NA,NA,1.76E-05,NA,NA,NA,NA,NA,NA,NA,-0.113602012,-0.042394289,0.924966137,0.892613135,0.958491783,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, naive activated_Breast cancer_ieu-a-1131",0.918015793,0.989633009,0.918016
"GBAP1_T cell, CD4, TH1 TH17",GBAP1,"T cell, CD4, TH1 TH17",1,-0.075097559,0.018459735,NA,NA,4.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.11127864,-0.038916478,0.927652981,0.894689418,0.96183104,0.018295457,Breast cancer,ieu-a-1131,"GBAP1_T cell, CD4, TH1 TH17_Breast cancer_ieu-a-1131",0.947596011,1,0.947596
"GBAP1_T cell, CD4, TH1",GBAP1,"T cell, CD4, TH1",1,-0.083792701,0.020597089,NA,NA,4.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.124162995,-0.043422408,0.919621873,0.883235866,0.957506846,0.018295457,Breast cancer,ieu-a-1131,"GBAP1_T cell, CD4, TH1_Breast cancer_ieu-a-1131",0.91323572,1,0.913236
"GBAP1_T cell, CD4, TFH",GBAP1,"T cell, CD4, TFH",1,-0.072299843,0.017772029,NA,NA,4.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.107133019,-0.037466667,0.930251924,0.89840616,0.963226524,0.018295457,Breast cancer,ieu-a-1131,"GBAP1_T cell, CD4, TFH_Breast cancer_ieu-a-1131",0.947766012,1,0.947766
"GBAP1_T cell, CD4, memory TREG",GBAP1,"T cell, CD4, memory TREG",1,-0.072234433,0.01775595,NA,NA,4.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.107036095,-0.037432771,0.930312774,0.898493241,0.963259175,0.018295457,Breast cancer,ieu-a-1131,"GBAP1_T cell, CD4, memory TREG_Breast cancer_ieu-a-1131",0.928028975,1,0.928029
"GBAP1_T cell, CD4, TH2",GBAP1,"T cell, CD4, TH2",1,-0.07197475,0.017692117,NA,NA,4.74E-05,NA,NA,NA,NA,NA,NA,NA,-0.106651299,-0.0372982,0.930554392,0.898839044,0.96338881,0.018295457,Breast cancer,ieu-a-1131,"GBAP1_T cell, CD4, TH2_Breast cancer_ieu-a-1131",0.820841004,1,0.820841
"GSTM5_T cell, CD4, naive",GSTM5,"T cell, CD4, naive",1,-0.085583955,0.019917721,NA,NA,1.73E-05,NA,NA,NA,NA,NA,NA,NA,-0.124622688,-0.046545223,0.917976071,0.882829942,0.954521393,0.009465775,Breast cancer,ieu-a-1131,"GSTM5_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.00800499,1,1
"GBAP1_NK cell, CD56dim CD16+",GBAP1,"NK cell, CD56dim CD16+",1,-0.079554975,0.020677284,NA,NA,0.00011935,NA,NA,NA,NA,NA,NA,NA,-0.120082452,-0.039027498,0.923527248,0.886847311,0.961724263,0.038070027,Breast cancer,ieu-a-1131,"GBAP1_NK cell, CD56dim CD16+_Breast cancer_ieu-a-1131",0.919067844,1,0.919068
"TNNT3_T cell, CD8, naive",TNNT3,"T cell, CD8, naive",1,0.111617741,0.022789133,NA,NA,9.69E-07,NA,NA,NA,NA,NA,NA,NA,0.066951041,0.15628444,1.11808538,1.069243128,1.169158712,0.004738949,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD8, naive_Breast cancer_ieu-a-1131",0.017322395,0.933183048,0.308256
"TNNT3_T cell, CD4, naive",TNNT3,"T cell, CD4, naive",1,0.110094306,0.022478091,NA,NA,9.69E-07,NA,NA,NA,NA,NA,NA,NA,0.066037248,0.154151365,1.116383347,1.068266507,1.166667466,0.004738949,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.496778936,0.933183048,0.95299
"TNNT3_T cell, CD4, TH1 TH17",TNNT3,"T cell, CD4, TH1 TH17",1,0.118766836,0.024248772,NA,NA,9.69E-07,NA,NA,NA,NA,NA,NA,NA,0.071239243,0.16629443,1.12610732,1.073838103,1.180920749,0.004738949,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, TH1 TH17_Breast cancer_ieu-a-1131",0.465201117,0.933183048,0.931194
"TNNT3_T cell, CD4, naive TREG",TNNT3,"T cell, CD4, naive TREG",1,0.114096899,0.023835311,NA,NA,1.69E-06,NA,NA,NA,NA,NA,NA,NA,0.067379689,0.160814109,1.12086073,1.069701555,1.174466625,0.006213635,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, naive TREG_Breast cancer_ieu-a-1131",0.031624983,0.910024418,0.0977866
"AC022431.3_Monocyte, non-classical",AC022431.3,"Monocyte, non-classical",1,0.08199084,0.020851991,NA,NA,8.42E-05,NA,NA,NA,NA,NA,NA,NA,0.041120937,0.122860743,1.085445867,1.041978112,1.130726949,0.027464091,Breast cancer,ieu-a-1131,"AC022431.3_Monocyte, non-classical_Breast cancer_ieu-a-1131",8.67E-10,1,1
"AC022431.2_Monocyte, non-classical",AC022431.2,"Monocyte, non-classical",1,0.075561404,0.019216851,NA,NA,8.42E-05,NA,NA,NA,NA,NA,NA,NA,0.037896376,0.113226432,1.078489449,1.038623601,1.119885482,0.027464091,Breast cancer,ieu-a-1131,"AC022431.2_Monocyte, non-classical_Breast cancer_ieu-a-1131",8.67E-10,1,1
"L3MBTL3_T cell, CD4, naive",L3MBTL3,"T cell, CD4, naive",1,-0.061731034,0.0140482,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.089265506,-0.034196561,0.940135718,0.914602709,0.966381533,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.95899934,0.674587897,0.958999
"L3MBTL3_Monocyte, classical",L3MBTL3,"Monocyte, classical",1,-0.067888672,0.015449501,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.098169694,-0.03760765,0.934364489,0.906495064,0.963090735,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_Monocyte, classical_Breast cancer_ieu-a-1131",0.951448795,0.674587897,0.951449
"L3MBTL3_T cell, CD4, naive TREG",L3MBTL3,"T cell, CD4, naive TREG",1,-0.0610971,0.013903935,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.088348813,-0.033845387,0.940731891,0.915441504,0.966720961,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, naive TREG_Breast cancer_ieu-a-1131",0.958107335,0.674587897,0.958107
"L3MBTL3_T cell, CD4, TFH",L3MBTL3,"T cell, CD4, TFH",1,-0.063577599,0.014468425,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.091935712,-0.035219486,0.938401298,0.912163789,0.965393503,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, TFH_Breast cancer_ieu-a-1131",0.951334254,0.674587897,0.951334
"L3MBTL3_T cell, CD4, TH1 TH17",L3MBTL3,"T cell, CD4, TH1 TH17",1,-0.065581413,0.014924435,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.094833306,-0.03632952,0.936522798,0.909524534,0.964322478,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, TH1 TH17_Breast cancer_ieu-a-1131",0.950643109,0.674587897,0.950643
"L3MBTL3_T cell, CD4, TH2",L3MBTL3,"T cell, CD4, TH2",1,-0.063184587,0.014378987,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.091367401,-0.035001772,0.938770173,0.912682329,0.965603705,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, TH2_Breast cancer_ieu-a-1131",0.969034531,0.674587897,0.969035
"L3MBTL3_T cell, CD8, naive",L3MBTL3,"T cell, CD8, naive",1,-0.060924147,0.013864576,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.088098715,-0.033749578,0.940894607,0.915670481,0.966813586,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD8, naive_Breast cancer_ieu-a-1131",0.002182613,0.674587897,1
"L3MBTL3_T cell, CD4, memory TREG",L3MBTL3,"T cell, CD4, memory TREG",1,-0.060622858,0.013796011,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.087663041,-0.033582676,0.941178131,0.916069503,0.966974963,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, memory TREG_Breast cancer_ieu-a-1131",0.963295914,0.674587897,0.963296
"L3MBTL3_NK cell, CD56dim CD16+",L3MBTL3,"NK cell, CD56dim CD16+",1,-0.076119953,0.017322703,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.11007245,-0.042167456,0.926705039,0.895769234,0.958709226,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_NK cell, CD56dim CD16+_Breast cancer_ieu-a-1131",0.944519154,0.674587897,0.944519
"L3MBTL3_T cell, CD4, TH17",L3MBTL3,"T cell, CD4, TH17",1,-0.063370539,0.014421304,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.091636296,-0.035104783,0.938595623,0.912436946,0.965504243,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, TH17_Breast cancer_ieu-a-1131",0.966052645,0.674587897,0.966053
"L3MBTL3_T cell, CD4, TH1",L3MBTL3,"T cell, CD4, TH1",1,-0.064698302,0.014723465,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.093556293,-0.035840311,0.937350217,0.91068675,0.964794348,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD4, TH1_Breast cancer_ieu-a-1131",0.962644809,0.674587897,0.962645
"L3MBTL3_B cell, naive",L3MBTL3,"B cell, naive",1,-0.065464931,0.014897928,NA,NA,1.11E-05,NA,NA,NA,NA,NA,NA,NA,-0.094664869,-0.036264994,0.936631893,0.909677744,0.964384704,0.009465775,Breast cancer,ieu-a-1131,"L3MBTL3_B cell, naive_Breast cancer_ieu-a-1131",0.968053341,0.674587897,0.968053
"TNNT3_T cell, CD4, TH2",TNNT3,"T cell, CD4, TH2",1,0.093988735,0.023849802,NA,NA,8.12E-05,NA,NA,NA,NA,NA,NA,NA,0.047243123,0.140734346,1.09854737,1.048376863,1.151118808,0.027464091,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, TH2_Breast cancer_ieu-a-1131",0.002487564,0.971683348,0.051714
"TNNT3_T cell, CD8, naive activated",TNNT3,"T cell, CD8, naive activated",1,0.099383768,0.025218801,NA,NA,8.12E-05,NA,NA,NA,NA,NA,NA,NA,0.049954919,0.148812617,1.104490086,1.051223705,1.160455519,0.027464091,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD8, naive activated_Breast cancer_ieu-a-1131",0.114512184,0.971683348,0.605451
"TNNT3_T cell, CD4, TH17",TNNT3,"T cell, CD4, TH17",1,0.09038917,0.022936406,NA,NA,8.12E-05,NA,NA,NA,NA,NA,NA,NA,0.045433814,0.135344526,1.094600187,1.04648174,1.144931175,0.027464091,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, TH17_Breast cancer_ieu-a-1131",0.882564615,0.971683348,0.882565
"TNNT3_T cell, CD4, memory TREG",TNNT3,"T cell, CD4, memory TREG",1,0.091805577,0.023295822,NA,NA,8.12E-05,NA,NA,NA,NA,NA,NA,NA,0.046145766,0.137465387,1.096151684,1.04722705,1.147361992,0.027464091,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, memory TREG_Breast cancer_ieu-a-1131",0.663793328,0.971683348,0.663793
"TNNT3_T cell, CD4, TH1",TNNT3,"T cell, CD4, TH1",1,0.087710926,0.022256797,NA,NA,8.12E-05,NA,NA,NA,NA,NA,NA,NA,0.044087604,0.131334248,1.091672502,1.045073903,1.140348877,0.027464091,Breast cancer,ieu-a-1131,"TNNT3_T cell, CD4, TH1_Breast cancer_ieu-a-1131",0.80869478,0.971683348,0.808695
"L3MBTL3_T cell, CD8, naive activated",L3MBTL3,"T cell, CD8, naive activated",1,-0.08131563,0.019478649,NA,NA,2.99E-05,NA,NA,NA,NA,NA,NA,NA,-0.119493783,-0.043137478,0.921902665,0.887369525,0.957779707,0.013272658,Breast cancer,ieu-a-1131,"L3MBTL3_T cell, CD8, naive activated_Breast cancer_ieu-a-1131",0.917158484,1,0.917158
"RP11-53O19.3_T cell, CD4, naive",RP11-53O19.3,"T cell, CD4, naive",1,-0.113942845,0.024697559,NA,NA,3.96E-06,NA,NA,NA,NA,NA,NA,NA,-0.162350061,-0.065535629,0.892308954,0.85014355,0.936565677,0.009465775,Breast cancer,ieu-a-1131,"RP11-53O19.3_T cell, CD4, naive_Breast cancer_ieu-a-1131",0.995045277,0.98805588,0.995045
"HLA-DRB5_T cell, CD4, TH1 TH17",HLA-DRB5,"T cell, CD4, TH1 TH17",1,0.14995744,0.035616659,NA,NA,2.55E-05,NA,NA,NA,NA,NA,NA,NA,0.080148789,0.219766091,1.161784796,1.083448261,1.245785297,0.01815079,Cervical cancer,finn-b-C3_CERVIX_UTERI,"HLA-DRB5_T cell, CD4, TH1 TH17_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.000364404,1,0.50158
"Y_RNA_ENSG00000199332_T cell, CD4, naive TREG",Y,RNA,1,-0.249345053,0.041804953,NA,NA,2.45E-09,NA,NA,NA,NA,NA,NA,NA,-0.33128276,-0.167407346,0.779311023,0.718002118,0.845854985,2.35E-05,Cervical cancer,finn-b-C3_CERVIX_UTERI,"Y_RNA_ENSG00000199332_T cell, CD4, naive TREG_Cervical cancer_finn-b-C3_CERVIX_UTERI",2.74E-06,1,1
"GSDMB_T cell, CD4, naive activated",GSDMB,"T cell, CD4, naive activated",1,-0.16786565,0.038219411,NA,NA,1.12E-05,NA,NA,NA,NA,NA,NA,NA,-0.242775697,-0.092955604,0.845467415,0.784447448,0.911233955,0.011183512,Cervical cancer,finn-b-C3_CERVIX_UTERI,"GSDMB_T cell, CD4, naive activated_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.001556722,1,1
"GSDMB_NK cell, CD56dim CD16+",GSDMB,"NK cell, CD56dim CD16+",1,-0.144561871,0.03231596,NA,NA,7.70E-06,NA,NA,NA,NA,NA,NA,NA,-0.207901152,-0.08122259,0.865401368,0.812287326,0.921988444,0.009021523,Cervical cancer,finn-b-C3_CERVIX_UTERI,"GSDMB_NK cell, CD56dim CD16+_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.946823409,1,0.946823
"ORMDL3_T cell, CD4, memory TREG",ORMDL3,"T cell, CD4, memory TREG",1,-0.157064686,0.039941235,NA,NA,8.41E-05,NA,NA,NA,NA,NA,NA,NA,-0.235349506,-0.078779866,0.854648773,0.790294589,0.924243359,0.029267216,Cervical cancer,finn-b-C3_CERVIX_UTERI,"ORMDL3_T cell, CD4, memory TREG_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.645901745,1,0.645902
"Y_RNA_ENSG00000199332_T cell, CD4, TH2",Y,RNA,1,-0.267878822,0.045218009,NA,NA,3.14E-09,NA,NA,NA,NA,NA,NA,NA,-0.35650612,-0.179251525,0.765000477,0.700118187,0.835895625,2.35E-05,Cervical cancer,finn-b-C3_CERVIX_UTERI,"Y_RNA_ENSG00000199332_T cell, CD4, TH2_Cervical cancer_finn-b-C3_CERVIX_UTERI",2.44E-06,1,1
"SKIV2L_T cell, CD4, naive",SKIV2L,"T cell, CD4, naive",1,-0.235831505,0.056813567,NA,NA,3.31E-05,NA,NA,NA,NA,NA,NA,NA,-0.347186097,-0.124476913,0.789913759,0.706673806,0.882958646,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, naive_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.690549393,1,0.989801
"SKIV2L_B cell, naive",SKIV2L,"B cell, naive",1,-0.275624083,0.066399896,NA,NA,3.31E-05,NA,NA,NA,NA,NA,NA,NA,-0.405767879,-0.145480286,0.759098235,0.66646485,0.864606934,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_B cell, naive_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.00026024,1,0.000263949
"SKIV2L_T cell, CD4, TH17",SKIV2L,"T cell, CD4, TH17",1,-0.247992768,0.059743306,NA,NA,3.31E-05,NA,NA,NA,NA,NA,NA,NA,-0.365089649,-0.130895888,0.780365587,0.69413442,0.877309108,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, TH17_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.006258582,1,0.981166
"XXbac-BPG299F13.14_T cell, CD4, TFH",XXbac-BPG299F13.14,"T cell, CD4, TFH",1,-0.203127446,0.045414673,NA,NA,7.72E-06,NA,NA,NA,NA,NA,NA,NA,-0.292140205,-0.114114687,0.816174217,0.746663843,0.892155631,0.009021523,Cervical cancer,finn-b-C3_CERVIX_UTERI,"XXbac-BPG299F13.14_T cell, CD4, TFH_Cervical cancer_finn-b-C3_CERVIX_UTERI",5.71E-05,1,1
"SKIV2L_T cell, CD4, TH2",SKIV2L,"T cell, CD4, TH2",1,-0.217339758,0.05329923,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.321806248,-0.112873268,0.804656534,0.724838616,0.893263858,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, TH2_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.560621249,1,0.988929
"SKIV2L_T cell, CD4, TH1",SKIV2L,"T cell, CD4, TH1",1,-0.218519256,0.053588483,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.323552682,-0.113485829,0.803708003,0.723573837,0.892716847,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, TH1_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.672000326,1,0.95558
"SKIV2L_T cell, CD4, memory TREG",SKIV2L,"T cell, CD4, memory TREG",1,-0.242248556,0.059407729,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.358687705,-0.125809408,0.784861071,0.698592485,0.881782892,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, memory TREG_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.047451309,1,0.967063
"SKIV2L_T cell, CD4, naive TREG",SKIV2L,"T cell, CD4, naive TREG",1,-0.224019414,0.054937312,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.331696546,-0.116342282,0.799299617,0.71770508,0.890170482,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, naive TREG_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.297405005,1,0.712639
"SKIV2L_T cell, CD4, TFH",SKIV2L,"T cell, CD4, TFH",1,-0.226985699,0.055664748,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.336088605,-0.117882793,0.796932179,0.714559789,0.88880022,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, TFH_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.743031731,1,0.928089
"SKIV2L_T cell, CD4, TH1 TH17",SKIV2L,"T cell, CD4, TH1 TH17",1,-0.219786983,0.053899374,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.325429756,-0.114144211,0.802689766,0.72221691,0.892129292,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD4, TH1 TH17_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.059157402,1,0.91923
"SKIV2L_T cell, CD8, naive",SKIV2L,"T cell, CD8, naive",1,-0.251203955,0.061603902,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.371947604,-0.130460306,0.777863706,0.689390363,0.877691331,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_T cell, CD8, naive_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.002817254,1,0.646458
"SKIV2L_Monocyte, classical",SKIV2L,"Monocyte, classical",1,-0.285706679,0.070065164,NA,NA,4.55E-05,NA,NA,NA,NA,NA,NA,NA,-0.423034401,-0.148378957,0.751483009,0.655056098,0.862104352,0.018882186,Cervical cancer,finn-b-C3_CERVIX_UTERI,"SKIV2L_Monocyte, classical_Cervical cancer_finn-b-C3_CERVIX_UTERI",0.000136792,1,0.999496
"Y_RNA_ENSG00000199332_T cell, CD8, naive",Y,RNA,1,-0.262974191,0.045538161,NA,NA,7.70E-09,NA,NA,NA,NA,NA,NA,NA,-0.352228988,-0.173719395,0.768761738,0.703119098,0.840532722,3.84E-05,Cervical cancer,finn-b-C3_CERVIX_UTERI,"Y_RNA_ENSG00000199332_T cell, CD8, naive_Cervical cancer_finn-b-C3_CERVIX_UTERI",2.11E-06,1,1
"HCG27_T cell, CD4, naive",HCG27,"T cell, CD4, naive",1,-0.22655044,0.044176758,NA,NA,2.92E-07,NA,NA,NA,NA,NA,NA,NA,-0.313136885,-0.139963995,0.797279126,0.731149822,0.869389537,0.000624386,Cervical cancer,finn-b-C3_CERVIX_UTERI,"HCG27_T cell, CD4, naive_Cervical cancer_finn-b-C3_CERVIX_UTERI",2.14E-06,1,1
"XXbac-BPG299F13.14_T cell, CD4, TH17",XXbac-BPG299F13.14,"T cell, CD4, TH17",1,-0.243175208,0.047418545,NA,NA,2.92E-07,NA,NA,NA,NA,NA,NA,NA,-0.336115556,-0.15023486,0.784134115,0.714540531,0.860505854,0.000624386,Cervical cancer,finn-b-C3_CERVIX_UTERI,"XXbac-BPG299F13.14_T cell, CD4, TH17_Cervical cancer_finn-b-C3_CERVIX_UTERI",1.93E-06,1,1
"HCG27_T cell, CD4, TH1",HCG27,"T cell, CD4, TH1",1,-0.206686034,0.040303249,NA,NA,2.92E-07,NA,NA,NA,NA,NA,NA,NA,-0.285680402,-0.127691666,0.813274951,0.751502756,0.88012471,0.000624386,Cervical cancer,finn-b-C3_CERVIX_UTERI,"HCG27_T cell, CD4, TH1_Cervical cancer_finn-b-C3_CERVIX_UTERI",1.75E-06,1,1
"HCG27_T cell, CD4, TH1 TH17",HCG27,"T cell, CD4, TH1 TH17",1,-0.203617785,0.039704948,NA,NA,2.92E-07,NA,NA,NA,NA,NA,NA,NA,-0.281439483,-0.125796086,0.815774113,0.754696586,0.881794639,0.000624386,Cervical cancer,finn-b-C3_CERVIX_UTERI,"HCG27_T cell, CD4, TH1 TH17_Cervical cancer_finn-b-C3_CERVIX_UTERI",2.76E-06,1,1
